Wavelength [A],flux (measured at 1 au) [erg/cm^2/s/A]
10.68,4.76040e+00
10.69,4.16105e+00
10.70,3.55459e+00
10.71,3.32883e+00
10.72,3.43242e+00
10.73,3.57648e+00
10.74,4.88755e+00
10.75,1.18284e+01
10.76,2.39218e+01
10.77,2.56131e+01
10.78,1.41056e+01
10.79,5.85118e+00
10.80,4.91247e+00
10.81,6.59804e+00
10.82,6.94583e+00
10.83,5.24163e+00
10.84,3.77859e+00
10.85,3.21099e+00
10.86,3.04197e+00
10.87,3.03061e+00
10.88,2.98006e+00
10.89,2.89257e+00
10.90,2.95247e+00
10.91,3.19809e+00
10.92,3.46158e+00
10.93,3.54924e+00
10.94,3.33503e+00
10.95,3.07488e+00
10.96,3.34671e+00
10.97,4.87868e+00
10.98,1.08267e+01
10.99,2.68715e+01
11.00,4.02266e+01
11.01,3.05068e+01
11.02,1.45710e+01
11.03,7.63996e+00
11.04,4.94198e+00
11.05,3.62340e+00
11.06,3.26288e+00
11.07,3.55249e+00
11.08,3.90713e+00
11.09,3.67535e+00
11.10,3.52681e+00
11.11,5.63563e+00
11.12,1.13322e+01
11.13,1.46508e+01
11.14,1.03004e+01
11.15,5.16965e+00
11.16,3.54529e+00
11.17,3.67276e+00
11.18,4.81388e+00
11.19,5.86680e+00
11.20,5.08925e+00
11.21,3.85382e+00
11.22,4.13006e+00
11.23,7.09710e+00
11.24,1.41486e+01
11.25,1.88721e+01
11.26,1.37509e+01
11.27,6.73998e+00
11.28,4.49738e+00
11.29,5.05123e+00
11.30,7.13794e+00
11.31,1.09634e+01
11.32,1.45453e+01
11.33,1.31980e+01
11.34,7.68295e+00
11.35,4.05479e+00
11.36,3.15611e+00
11.37,3.08935e+00
11.38,3.15008e+00
11.39,3.42074e+00
11.40,5.05585e+00
11.41,9.31277e+00
11.42,1.25930e+01
11.43,1.08038e+01
11.44,7.77964e+00
11.45,6.10580e+00
11.46,4.83203e+00
11.47,3.79482e+00
